factor,ic_mean,ic_std,icir,icir_ann,t_stat,hit_rate,n_obs,sign_stability,passes_ic,passes_corr
ret_5,-0.014718067463466628,0.18193790094142884,-0.08089610459013048,-1.284185848676136,-4.963093040966993,0.5292242295430393,3764,0.836218741412476,True,True
ret_10,-0.011517424195138359,0.18499609752892193,-0.062257660291119093,-0.9883097180342535,-3.817059750626229,0.5139664804469274,3759,0.724545954870666,True,False
ret_20,-0.0097285522269257,0.18690578535402372,-0.05205056766166208,-0.8262771457949918,-3.1870082703902463,0.5041344358495599,3749,0.7298565121412803,True,False
ret_60,-0.006495361215474386,0.20313053229929706,-0.03197629200274026,-0.5076078989354055,-1.9474060632433317,0.49447290374764086,3709,0.6570870535714286,False,False
mom_accel,-0.00649227071358649,0.17980398421532606,-0.03610749084298158,-0.5731886474224273,-2.1990025169303418,0.5128066864383931,3709,0.6545758928571429,False,False
dist_ma_20,-0.012705124986549424,0.18664679214408994,-0.06807041707280542,-1.0805843712905308,-4.168444710170245,0.5114666666666666,3750,0.8011034482758621,True,True
dist_ma_50,-0.009860115787999422,0.19727726963867703,-0.04998100291056697,-0.7934238238737341,-3.0484314696642776,0.4991935483870968,3720,0.7182197496522948,True,True
bb_pos_20,-0.010678587236404495,0.16993265540551403,-0.06284011281364342,-0.9975558651848632,-3.848155294308933,0.5122666666666666,3750,0.7616551724137931,True,False
rsi_14,-0.007697941610259296,0.17349131056219988,-0.04437076177080027,-0.7043640067681767,-2.7189539712828483,0.507057256990679,3755,0.6865013774104683,False,False
vol_ratio_20,0.005212343875472838,0.09961521945984188,0.052324774303931565,0.8306300412947145,3.20422494877313,0.5314666666666666,3750,0.7401379310344828,True,True
obv_slope_20,-0.006713204936609858,0.13673329659050773,-0.04909707513828713,-0.7793919054993593,-3.0061686461287667,0.5094691917844758,3749,0.6997792494481236,False,False
vol_price_corr_20,-0.0028681832862563783,0.11864067836177372,-0.02417537834291845,-0.38377223367755403,-1.480236127673273,0.506535076020272,3749,0.5013796909492274,False,False
dollar_vol_z_60,0.001027143920868667,0.10469645203442787,0.009810685089222565,0.1557397976235146,0.5975665657672011,0.5099730458221025,3710,0.60278940027894,False,False
rvol_20,0.012760639607934497,0.2433453696164204,0.05243839086829059,0.8324336483393837,3.2107543277821375,0.5342758068818352,3749,0.7193708609271523,True,False
rvol_60,0.01116091730833457,0.2644890583107287,0.04219803034431175,0.6698729646468372,2.5699258732812584,0.5292531679698032,3709,0.666015625,False,False
vol_of_vol_60,0.01075543135409378,0.18614064768123612,0.057781207318631136,0.9172482301089795,3.5099408288236074,0.532249322493225,3690,0.7772791023842918,True,True
hl_range_20,0.003117354460124997,0.22799661080769207,0.013672810525917803,0.21704913824930858,0.8372852284563382,0.5090666666666667,3750,0.5801379310344827,False,False
garman_klass_20,0.014267111753317486,0.248110436594357,0.057503069798886385,0.9128329338638539,3.521329491272934,0.5336,3750,0.7246896551724138,True,False
amihud_illiq_20,0.019278512257678956,0.14934750117220533,0.12908493350317152,2.049159792328209,7.903751469753827,0.5521472392638037,3749,0.8948675496688742,True,True
hl_spread_proxy_20,0.015317878593848245,0.25289307990376336,0.060570572352858974,0.9615280272870557,3.7091748923208603,0.5317333333333333,3750,0.744,True,True
rs_vs_spy_60,-0.006495361215474386,0.20313053229929706,-0.03197629200274026,-0.5076078989354055,-1.9474060632433317,0.49447290374764086,3709,0.6570870535714286,False,False
rs_vs_spy_20,-0.0097285522269257,0.18690578535402372,-0.05205056766166208,-0.8262771457949918,-3.1870082703902463,0.5041344358495599,3749,0.7298565121412803,True,False
beta_60,0.00916200441955338,0.29166317829360855,0.03141296228463322,0.49866531689394533,1.913098404664507,0.5262874090051227,3709,0.6104910714285714,False,False
idio_vol_60,0.01107323162732373,0.2036904009817934,0.054363050855368966,0.8629866784443808,3.2843562137514146,0.5361643835616439,3650,0.7163120567375887,True,True
rank_sector_mom20,-0.008524175089912805,0.13712834684720035,-0.062162020369217606,-0.9867914813416877,-3.806123197514757,0.5145372099226461,3749,0.7290286975717439,True,True
